WKT,direccion,barrio,comuna,materiales,mas_info
POINT (-58.4436445327415 -34.5893377789048),AGUIRRE 1447,CHACARITA,15,Papel / Carton,Los materiales deben estar limpios y secos
POINT (-58.5056729127257 -34.6223361926404),BERMUDEZ 1697,MONTE CASTRO,10,Papel / Carton,Los materiales deben estar limpios y secos
POINT (-58.4129892741202 -34.6451594110446),CACHI 163,NUEVA POMPEYA,4,Papel / Carton / Plastico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5267564075838 -34.6083119977315),CERVANTES 3896,VILLA DEVOTO,11,Papel / Carton,Los materiales deben estar limpios y secos
POINT (-58.4307505291444 -34.5991248058184),CASTILLO 77,VILLA CRESPO,15,Papel / Carton,Los materiales deben estar limpios y secos
POINT (-58.4307505291444 -34.5991248058184),CASTILLO 77,VILLA CRESPO,15,Papel / Carton,Los materiales deben estar limpios y secos
